x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77
-6.029063477014687 °C,2.454790725015662 °C,2.5314355802029156 °C,2.569455310645721 °C,2.5929437537482953 °C,2.6106422051037446 °C,2.625269873361546 °C,2.6375825336399368 °C,2.6475428197711146 °C,2.654989859407907 °C,2.661505458886596 °C,2.6681212924501487 °C,2.6733977862784037 °C,2.6780292659342204 °C,2.6822004256743424 °C,2.6859461259343345 °C,2.6892165304062163 °C,2.692122841004594 °C,2.6952593207405204 °C,2.698041291966245 °C,2.7002287052196636 °C,2.7027162633125585 °C,2.704834590733586 °C,2.7067956638790935 °C,2.708712127715582 °C,2.7104515322138707 °C,2.7120414769545134 °C,2.713717174711724 °C,2.715045507902968 °C,2.7165086964668137 °C,2.717876281071192 °C,2.719040130226657 °C,2.7226107618409885 °C,2.726514516398306 °C,2.729586731632211 °C,2.732172992262223 °C,2.7344319462838462 °C,2.736462248542495 °C,2.7383169588392446 °C,2.7400554341369356 °C,2.7416321113246567 °C,2.743158755184945 °C,2.7446065474782424 °C,2.746015744876465 °C,2.7474465282906326 °C,2.7489423069751555 °C,2.749648380035619 °C,2.749910369971416 °C,2.750359265739804 °C,2.7505964291441973 °C,2.7508438642954687 °C,2.751199322693462 °C,2.751362591428919 °C,2.751723524483344 °C,2.7519703561745747 °C,2.7521689365128186 °C,2.7525241441449793 °C,2.7526982178187405 °C,2.7530008594773956 °C,2.7532621104297004 °C,2.753423115494265 °C,2.753767005687892 °C,2.753955470303033 °C,2.7541937298345154 °C,2.7544731201421335 °C,2.7546185654631055 °C,2.7549244577186327 °C,2.7551351073080483 °C,2.7553066847656638 °C,2.7556018576136028 °C,2.755764057110291 °C,2.7559948025836785 °C,2.75623660847963 °C,2.756371467999974 °C,2.7566449969007896 °C,2.756838517024738 °C,2.7569897558697227 °C
-6.154954720041312 °C,-0.3040782406501763 °C,0.38395615443903874 °C,0.7289270904571206 °C,0.9367534376416123 °C,1.0960939028619512 °C,1.2276054285020974 °C,1.3384059511569923 °C,1.428520910198109 °C,1.4950394672732106 °C,1.5543780086832522 °C,1.6135362013858927 °C,1.660833936716351 °C,1.7024637542876597 °C,1.740004061803252 °C,1.7737576859351867 °C,1.8032756828914331 °C,1.8292405046586362 °C,1.8574113598984852 °C,1.88251781517614 °C,1.902271045973194 °C,1.9245197069027489 °C,1.943686685763099 °C,1.9612171729939891 °C,1.9785551182672532 °C,1.9941191652535184 °C,2.0085167463877096 °C,2.0235249136984605 °C,2.0354472679647455 °C,2.048689438457841 °C,2.060948932628987 °C,2.071399096075015 °C,2.1037443341357664 °C,2.138814117077273 °C,2.1664307390027386 °C,2.1896883299497207 °C,2.210003348383562 °C,2.2282665300013704 °C,2.244949236230774 °C,2.260590503770553 °C,2.274774801517689 °C,2.2885065468171053 °C,2.3015392019132284 °C,2.3142189302730145 °C,2.32709974929065 °C,2.3405432368020764 °C,2.3468568391917413 °C,2.3492083992991883 °C,2.353252793903306 °C,2.355376269820682 °C,2.3576203639993794 °C,2.3608064759867062 °C,2.3622702784025202 °C,2.3655313207161752 °C,2.367742059009189 °C,2.3695427584518574 °C,2.3727307297337417 °C,2.374290719228491 °C,2.377027717971319 °C,2.379368511395551 °C,2.3808248312342184 °C,2.3839175176097758 °C,2.3856064409076048 °C,2.3877634599786592 °C,2.390268595960844 °C,2.3915756145362743 °C,2.3943359854927975 °C,2.3962239737656974 °C,2.3977775937342956 °C,2.400428786937528 °C,2.401882964515082 °C,2.403970299698406 °C,2.406138857564947 °C,2.4073519750751395 °C,2.4098191465461998 °C,2.4115542231284763 °C,2.412922500325733 °C
-6.540249586872238 °C,-1.7737070872719753 °C,-1.192077157090948 °C,-0.6135195045485424 °C,-0.28020822460397316 °C,-0.013944536944755758 °C,0.20045348625708467 °C,0.3836081102312662 °C,0.534252806532746 °C,0.6425090788048621 °C,0.743424847464273 °C,0.839576612346734 °C,0.9171129669752354 °C,0.985765481653542 °C,1.0478458744719243 °C,1.1038188433420104 °C,1.1529540520217842 °C,1.1952934908840995 °C,1.241556832447858 °C,1.2833254490407804 °C,1.3162819064850417 °C,1.3525167026924207 °C,1.3845918645173407 °C,1.413139533164314 °C,1.442144002719386 °C,1.4675454524344262 °C,1.491689393408778 °C,1.5162280382524316 °C,1.5358252790334515 °C,1.557996323618694 °C,1.5780859096377993 °C,1.5952765578347234 °C,1.6495556183671054 °C,1.707310171649605 °C,1.7528530497638175 °C,1.7912414171513935 °C,1.8247784760332546 °C,1.8549430570833099 °C,1.8824939580297433 °C,1.908340031414288 °C,1.9317760979419145 °C,1.9544517668319341 °C,1.9760136623237186 °C,1.9969709605163106 °C,2.0182859149592334 °C,2.04044492890532 °C,2.050731403926149 °C,2.0545980207001073 °C,2.0613006903473194 °C,2.0647709594342 °C,2.068546956527252 °C,2.0737663410917593 °C,2.0761663450581525 °C,2.081606122151485 °C,2.085221560334118 °C,2.0882507156218475 °C,2.093488359804547 °C,2.096043033335406 °C,2.1006188824433165 °C,2.1044503633398657 °C,2.106887029110898 °C,2.1119915140972307 °C,2.114757176152531 °C,2.118372068362893 °C,2.122479248882381 °C,2.1246339670352064 °C,2.1292255215509104 °C,2.132318065886763 °C,2.1349232294733897 °C,2.139286696422205 °C,2.141670323229285 °C,2.14516217625742 °C,2.14871916641059 °C,2.150723670117242 °C,2.154823209680894 °C,2.157667588246528 °C,2.159957594739025 °C
-7.203476375619388 °C,-2.0347301308689802 °C,-1.777622590175172 °C,-1.6554796074143352 °C,-1.2525717381587167 °C,-0.8809557388970943 °C,-0.6204650277434633 °C,-0.379583157392041 °C,-0.17861308432323428 °C,-0.039012520485566214 °C,0.09938561300034707 °C,0.22231658478759803 °C,0.32319561569718214 °C,0.4132348165538334 °C,0.4949575845939494 °C,0.5689203457986163 °C,0.6342181620352085 °C,0.6891874682906155 °C,0.7491535440135919 °C,0.804589354418138 °C,0.8486287613745378 °C,0.8951822764315858 °C,0.938110833293383 °C,0.974866008273707 °C,1.0136655828344707 °C,1.0464746067078985 °C,1.0789018401378279 °C,1.1106574536794998 °C,1.1362451576400376 °C,1.1659330898562992 °C,1.1920278221064577 °C,1.2144882542123818 °C,1.2874481324190359 °C,1.363020504733026 °C,1.4227271528850496 °C,1.4731158229392538 °C,1.5171555939237085 °C,1.5567888638971976 °C,1.5929833329793008 °C,1.6269657157692887 °C,1.6577814655044676 °C,1.6875632291800815 °C,1.7159663998978987 °C,1.7435340250268005 °C,1.7716187228332805 °C,1.8006423603562782 °C,1.8138897654663142 °C,1.818942665241567 °C,1.8277880469660919 °C,1.8322776776396998 °C,1.8373729430223198 °C,1.8441479059247903 °C,1.8472692837231663 °C,1.854517819165725 °C,1.8591999951902147 °C,1.863287162260952 °C,1.8701142157317698 °C,1.8734294622827607 °C,1.87954745907278 °C,1.884515622666696 °C,1.8877800695057443 °C,1.894477415255354 °C,1.89806607066182 °C,1.9029161064287217 °C,1.908254193304605 °C,1.9110802460014475 °C,1.917172775207437 °C,1.9211871735719306 °C,1.9246864647487838 °C,1.9303890087770956 °C,1.933486476081369 °C,1.9381595030329664 °C,1.9427857677672689 °C,1.9454234448514764 °C,1.9508550156896962 °C,1.9545516582046794 °C,1.9576195379209749 °C
-7.844028475479017 °C,-2.2687531312601545 °C,-1.9580136456573074 °C,-1.8114134589080348 °C,-1.7122577221241584 °C,-1.4572075896653074 °C,-1.1946245000511178 °C,-0.9135315189611912 °C,-0.6762495940542106 °C,-0.5158822619155393 °C,-0.3479109182757483 °C,-0.20864814408860527 °C,-0.0919757930733722 °C,0.012890780654480825 °C,0.10838052924493184 °C,0.19509799850391654 °C,0.27208574400171637 °C,0.33596388675836414 °C,0.40454945534443626 °C,0.4697992863198427 °C,0.5221111045510035 °C,0.5751268051206377 °C,0.6260560049971708 °C,0.6681008456490934 °C,0.7141100140517377 °C,0.7517553909901702 °C,0.7903754860725196 °C,0.8268514811750902 °C,0.8565460581904879 °C,0.8917651748487468 °C,0.9218607135775915 °C,0.9479192238027659 °C,1.034868813655514 °C,1.1226646301278702 °C,1.192146554616621 °C,1.250849044653097 °C,1.302188787677563 °C,1.34840769133342 °C,1.390613956275995 °C,1.4302694639935172 °C,1.4662415993983815 °C,1.500954910015911 °C,1.5341647491283714 °C,1.566354504914685 °C,1.5991983002841932 °C,1.6329349565588167 °C,1.648083833826918 °C,1.6539533300973703 °C,1.6643058521557428 °C,1.669463430711925 °C,1.675558383123462 °C,1.6833647222285661 °C,1.6869713947796592 °C,1.6955368150718395 °C,1.7009207333672276 °C,1.7058109566728084 °C,1.7137085568000834 °C,1.71752865723979 °C,1.7247831530417732 °C,1.7305026763820877 °C,1.7343848608459647 °C,1.7421809294717359 °C,1.7463154903194766 °C,1.7520858438339486 °C,1.7582448245650644 °C,1.761538576772958 °C,1.7687079211484698 °C,1.773334590367927 °C,1.7775039021567656 °C,1.7841178423644601 °C,1.7876916385848935 °C,1.7932379993340601 °C,1.7985795737521235 °C,1.8016633048848807 °C,1.8080459428967879 °C,1.812311333661538 °C,1.8159578790346704 °C
-7.754583397254163 °C,-3.174283898430844 °C,-2.6708866320868476 °C,-2.434906805166576 °C,-2.2523816878744336 °C,-2.1112116526221483 °C,-2.020202412606582 °C,-1.9252888736672595 °C,-1.8538382284837693 °C,-1.8041813125161648 °C,-1.7466723769061532 °C,-1.7068295825441189 °C,-1.6723859682513524 °C,-1.5824157981568805 °C,-1.431702925623254 °C,-1.2926086658372902 °C,-1.1651075003466698 °C,-1.0549047049703162 °C,-0.970659779299211 °C,-0.8640520253607631 °C,-0.7713187990300013 °C,-0.7020646647342351 °C,-0.6151267477535285 °C,-0.556488699968847 °C,-0.47811522755531166 °C,-0.4247054002379683 °C,-0.3567994523285788 °C,-0.30541044028611136 °C,-0.2578204691886443 °C,-0.1999081263667918 °C,-0.1561181309986229 °C,-0.11660855037404941 °C,0.037180019618043535 °C,0.17124210342065646 °C,0.2780240486201644 °C,0.3686336791458726 °C,0.4486451290240884 °C,0.5205222272054851 °C,0.5863040241850225 °C,0.6482162649274216 °C,0.7048567006011307 °C,0.7586135443643424 °C,0.8112339473789357 °C,0.8619036710680906 °C,0.9140138316134535 °C,0.9651902126272596 °C,0.9859171231195102 °C,0.9951029195933732 °C,1.011345376021564 °C,1.018635364909069 °C,1.0296687720950521 °C,1.0408632785434104 °C,1.046269258743708 °C,1.0606024313023228 °C,1.0682544511136756 °C,1.0771668948598778 °C,1.0887622547128109 °C,1.0942776060788104 °C,1.1067497990924005 °C,1.1149346147384094 °C,1.1218502879626362 °C,1.1337267174571295 °C,1.1396845356543361 °C,1.149813355305768 °C,1.1587413335754206 °C,1.1639856170837353 °C,1.175658785704168 °C,1.182334618283281 °C,1.1897627590081095 °C,1.1996471542619858 °C,1.2048465696791961 °C,1.2144476506449053 °C,1.2222339075608093 °C,1.2272239065227026 °C,1.2375380889813143 °C,1.2437391330170746 °C,1.250158983867776 °C
-6.266600263115301 °C,-4.418962037227335 °C,-3.694477450438711 °C,-3.2995517083368915 °C,-3.025789976030833 °C,-2.8255801092274426 °C,-2.6696914398712335 °C,-2.543548793625176 °C,-2.440292621940496 °C,-2.3540992293158034 °C,-2.28035235669074 °C,-2.214758131123428 °C,-2.158366880163916 °C,-2.1084651512188226 °C,-2.063655634763882 °C,-2.023232600683857 °C,-1.9866988121814921 °C,-1.9545106004745934 °C,-1.9241584544274366 °C,-1.8948064755864367 °C,-1.8687599812773514 °C,-1.8455390614612237 °C,-1.8213652061944043 °C,-1.8022581031880804 °C,-1.780313778100478 °C,-1.7634482650388172 °C,-1.7434304884108776 °C,-1.7277062363027 °C,-1.7123474383706239 °C,-1.6946291058284564 °C,-1.6814399459414335 °C,-1.6698085748548583 °C,-1.4031257197645766 °C,-1.213236964491411 °C,-1.0572484194168792 °C,-0.9241176389977909 °C,-0.8044912681541535 °C,-0.6978456068121929 °C,-0.5970419201554588 °C,-0.5060892256835562 °C,-0.41621509699045467 °C,-0.336100826231161 °C,-0.2553830923321614 °C,-0.1759363404794496 °C,-0.09367630932231362 °C,-0.02491505982295825 °C,-0.0033591091467096257 °C,0.013617030752209517 °C,0.03560096729450501 °C,0.04410682473646907 °C,0.0665097041457089 °C,0.07955755538504858 °C,0.08907778181607906 °C,0.1120414625622676 °C,0.121047491192875 °C,0.13979362349169758 °C,0.15397204870860165 °C,0.16109189573351007 °C,0.1837547802051558 °C,0.19349796750429732 °C,0.20827075654578897 °C,0.22390673962149482 °C,0.23124527757838367 °C,0.25071738658054515 °C,0.2615946722526619 °C,0.2715598114988208 °C,0.28929414626651084 °C,0.2974824139290246 °C,0.3126150364089127 °C,0.3253678694888147 °C,0.33196535943630795 °C,0.34993703349512356 °C,0.3596250554522299 °C,0.3691075859667361 °C,0.38469237046213106 °C,0.39245027687033784 °C,0.4053853080662168 °C
-7.164679386697039 °C,-6.0604350886555025 °C,-5.28282626448912 °C,-4.756696258043107 °C,-4.378791406207381 °C,-4.089349954339992 °C,-3.859056513292756 °C,-3.6706662667217484 °C,-3.513102613934621 °C,-3.379021223554092 °C,-3.2632106714749063 °C,-3.1619830088662138 °C,-3.072620744859673 °C,-2.99301639306442 °C,-2.921581008927937 °C,-2.8570250991301207 °C,-2.7983399368336848 °C,-2.744746791299586 °C,-2.695524511163742 °C,-2.650116140714579 °C,-2.6080427763045457 °C,-2.5690538745759133 °C,-2.532591491684871 °C,-2.4986489426493463 °C,-2.4667728893884084 °C,-2.4368037532848286 °C,-2.4086228277651376 °C,-2.381961420305593 °C,-2.3567887823188216 °C,-2.333005154921716 °C,-2.310395666174497 °C,-2.2889564048740274 °C,-2.2683257162212325 °C,-2.2416871621401557 °C,-2.2039217399144366 °C,-2.1586170623281538 °C,-2.1095431927459702 °C,-2.059091570184122 °C,-2.008291609083746 °C,-1.9572878145295536 °C,-1.9067881373166695 °C,-1.8559855005709762 °C,-1.8032346143519213 °C,-1.7460600945474143 °C,-1.671368886640315 °C,-1.6547561632922887 °C,-1.6539337496791393 °C,-1.603659959516147 °C,-1.5966962553367132 °C,-1.5905460998472227 °C,-1.5375030124192055 °C,-1.5313194134484232 °C,-1.4844150050204419 °C,-1.4737295007902842 °C,-1.467497766843656 °C,-1.4189044918378042 °C,-1.4117293918998883 °C,-1.376669134855385 °C,-1.3578841882571233 °C,-1.3514049888778077 °C,-1.3077656187938727 °C,-1.2990190499610281 °C,-1.2926282865350864 °C,-1.2489956768362682 °C,-1.2419299576926919 °C,-1.2052197196943484 °C,-1.1929167599643538 °C,-1.1864628962269654 °C,-1.1472210541854226 °C,-1.1387438619136008 °C,-1.1198916870994637 °C,-1.0933455551741216 °C,-1.0862205732924664 °C,-1.0541888818912208 °C,-1.0416791803339354 °C,-1.0352138393724537 °C,-1.000929797232277 °C
-7.0301417426428285 °C,-6.733496552955546 °C,-6.252911795538311 °C,-5.803537029636533 °C,-5.4327500458891285 °C,-5.1271402630874805 °C,-4.871456816084581 °C,-4.654447028751227 °C,-4.467786671273666 °C,-4.305335911951306 °C,-4.162470189861045 °C,-4.035721034299386 °C,-3.922375331658614 °C,-3.820286159232416 °C,-3.7277766891523245 °C,-3.6434780255291934 °C,-3.5662587865621393 °C,-3.4952035728720827 °C,-3.4295444118201264 °C,-3.3686462856136106 °C,-3.3119203620789004 °C,-3.2589652618670546 °C,-3.2093638715117683 °C,-3.162761566365876 °C,-3.118900570855459 °C,-3.0774784124332517 °C,-3.038311645195242 °C,-3.0011747135789526 °C,-2.9659028613685514 °C,-2.9323746547468157 °C,-2.900418585458374 °C,-2.8699327389825564 °C,-2.840817712191656 °C,-2.811423318949502 °C,-2.7774751656670085 °C,-2.738055466080988 °C,-2.694569016051911 °C,-2.6485724149194407 °C,-2.6012069831902727 °C,-2.55312322502056 °C,-2.504629685082367 °C,-2.4559041126541423 °C,-2.406553273335295 °C,-2.3557029667367413 °C,-2.299385475954224 °C,-2.2487290460071656 °C,-2.2224016176442394 °C,-2.201694226724197 °C,-2.1808362576513938 °C,-2.1665439733391825 °C,-2.1491434890658856 °C,-2.1357066859611447 °C,-2.124526872504421 °C,-2.1092465533498332 °C,-2.0994996572906994 °C,-2.0866639682584354 °C,-2.076174964197963 °C,-2.068487562245399 °C,-2.055335486926425 °C,-2.047543584965474 °C,-2.037504047053119 °C,-2.028248078394347 °C,-2.022117156982732 °C,-2.010945222576799 °C,-2.0041670968712175 °C,-1.996824185366247 °C,-1.987722484748595 °C,-1.9823819558473814 °C,-1.9732418442744246 °C,-1.966797334286704 °C,-1.9623771181814558 °C,-1.9526624075964039 °C,-1.9476781156484437 °C,-1.9411377837558175 °C,-1.9340359192116146 °C,-1.9300474380711343 °C,-1.9221792207009076 °C
